1;Bates, Joseph;Bourne, Sophia;42/12/24;1842;Fairhaven, Ma.;;
2;Miller, William;Holmes, E.;44/11/22;1844;;;display
3;Foss, Mary;White, E.G.;45/01/27;1845;;;fragment
4;Foss, Mary;White, E.G.;45/05/25;1845;;;
5;Nichols, Otis;Miller, William;46/04/20;1846;;;& 45/06/02
6;White, John;White, Anna;46/06/01;1846;;;poem re JW
7;White, J.S.;Collins, Philip;46/08/26;1846;;;
8;White, J.S.;Howland, Stockbridge;47/03/14;1847;;;
9;White, J.S.;Hastings, Elvira;47/05/21;1847;;;
10;White, J.S.;Hastings, Elvira;47/08/22;1847;;;cont. 8/25 and 9/1
11;Bates, Joseph;Hastings, Br-Sr.;48/04/07;1848;Fairhaven, Ma.;;
12;White, J.S.;Hastings, Br-Sr;48/04/27;1848;;;
13;White, J.S.;Howland, Stockbridge;48/07/02;1848;;;see 2SG94
14;Bates, Joseph;Hastings, Br-Sr.;48/08/07;1848;Fairhaven, Ma.;;
15;White, J.S.;Hastings, Br-Sr;48/08/26;1848;;;
16;White, J.S.;Br-Sr;48/08/26;1848;;;
17;White, J.S.;Hastings, Br-Sr;48/10/02;1848;;;
18;White, J.S.;Howland, Br-Sr.;48/11/19;1848;;;
19;White, J.S.;Hastings, Br-Sr;49/01/25;1849;;;
20;White, J.S.;Hastings, Br-Sr;49/02/25;1849;;;
21;White, J.S.;Hastings, Br.;49/03/05;1849;;;at end of LT 2, 1849
22;White, J.S.;Hastings, Br-Sr ?;49/03/22;1849;;;cont. 3/23 date unc.
23;White, J.S.;Collins, Br-Sr;49/09/08;1849;;;
24;Bates, Joseph;Hastings, Br-Sr.;49/09/25;1849;Bangor, Me.;;
25;White, J.S.;Bowles, Br.;49/10/17;1849;;;
26;White, J.S.;Bowles, Br.;49/11/08;1849;;;
27;White, J.S.;Hastings, Br-Sr;50/01/03;1850;;;
28;White, J.S.;Hastings, Br.;50/01/10;1850;;;cont. on 11th
29;White, J.S.;Collins, Br-Sr;50/01/28;1850;;;
30;White, J.S.;Collins, Br-Sr, Gilbert, Deb.;50/02/10;1850;;;
31;White, J.S.;Hastings, Leonard;50/03/18;1850;;;
32;White, J.S.;Hastings, Leonard;50/07/21;1850;;;
33;White, J.S.;Hastings, Br. and family;50/11/07;1850;;;added to EGW lt
34;Nichols, Mary;Collins, Sr.;50/12/12;1850;;;quotes EGW
35;White, J.S.;Loveland, Br-Sr;51/04/01;1851;;;added to EGW lt
36;White, J.S.;Brethren in Jackson;51/08/04;1851;;;
37;n.a.;Believers in Dartmouth;51/11/07;1851;;;"DF105;see 51L08"
38;White, J.S.;Brethren in Christ;51/11/11;1851;;;
39;Bates, Joseph;Church in Monterey & Allegan;52/00/00;1852;;;n.d.
40;White, J.S.;Hastings, Leonard;52/09/30;1852;;;
