Code Number,Phrases,id
001-A,APOSTASY,1
004-A-1,BIBLE STUDY BY THE PIONEERS,2
004-A-2,"HEBREWS, AUTHORSHIP OF",3
004-A-3,"BIBLE, INSPIRATION OF",4
004-A-4,WILL THERE BE A TIME WHEN BIBLES WILL BE TAKEN FROM US?,5
004-B-1,ADAM,6
004-B-1-A,ADAM AS KING IN THE NEW EARTH,7
004-B-2,"BARTIMAEUS, HARMONY OF TIME DISCREPANCY",8
004-B-3,"HEROD, WHICH?",9
004-B-4,"JACOB, AGE OF",10
004-B-5,MARY'S RELATIONS OF VARIOUS,11
004-B-6,"MELCHISEDEK, IDENTITY OF",12
004-B-7,PAUL'S THORN IN THE FLESH,13
004-B-8,"SIMON'S HOUSE, FEAST AT--ONE OR TWO?",14
004-B-9,ANGELS AND MAN--RELATIVE STATUS OF,15
004-B-9-A,ANGELS AS SONS OF GOD GC 518,16
004-B-10,SATAN (SEE 4-B-10-A),17
004-B-10-A,DOES SATAN NOW HAVE ACCESS TO OTHER WORLDS?,18
004-B-10-B,CAN SATAN HEAL?,19
004-B-10-C,SATAN--COULD HE CARRY FOUR PARTS IN SINGING?,20
004-B-ll,"SCRIBE, IDENTITY OF, MATT. 8: 19,20",21
004-B-12,BROTHERS OF JESUS,22
004-B-13,EVE,23
004-B-14,"MOSES, RESURRECTION OF",24
004-B-15,"JOHN THE BAPTIST, LOCUSTS THE FOOD OF",25
004-C,CHRONOLOGY OF THE BIBLE,26
004-C-1,FORTY YEARS--TIME CALCULATIONS,27
004-C-2,TIME SETTING,28
004-C-3,CHRONOLOGY OF ABRAHAM'S MOVEMENTS--DISCREPANCY BETWEEN PP AND BIBLE,29
004-D-1,"ARK, PREDICTIONS OF BEING FOUND",30
004-D-2,BEAST--NUMBER OF--WORD TO THE LITTLE FLOCK,31
004-D-3,COUNCILS IN HEAVEN--PLAN OF SALVATION LAID,32
004-D-4,"DAILY, EGW RELATION TO CONTROVERSY OVER",33
004-D-5,"EMMAUS, DAY OF WALK TO",34
004-D-6,"GALATIANS, LAW IN",35
004-D-7,HUNDRED AND FORTY-FOUR THOUSAND,36
004-D-8,"KING OF THE NORTH, DID EGW IDENTIFY?",37
004-D-9,NEW JERUSALEM--WHEN WILL IT TOUCH THE EARTH?,38
004-D-10,"PROBATION, CLOSE OF",39
004-D-10-A,"PROBATION, CLOSE OF, WHAT KIND OF",40
004-D-10-B,PROBATION CLOSED FOR ENLIGHTENED AT LOUD CRY,41
004-D-10-C,DEATH DECREE COMES AFTER CLOSE OF PROBATION,42
004-D-ll,REV. 3:10--HOUR OF TEMPTATION,43
004-D-12,"REVELATION 7:9--""MULTITUDE""",44
004-D-13,ROMANS 12--EGW REGARDING READING DAILY,45
004-D-14,WAR--ARMAGEDDON,46
004-D-15,THIS GENERATION,47
004-D-16,TIME PERIODS IN HISTORY OF ISRAEL,48
004-D-17,REVELATION 12:17,49
