"Author","Title","Publisher","Date","Pages","Library","Location","Internet (eBooks)","Notes","id"
,"Advent Keepsake, The; or, A Text for Each Day - see Anon.",,,,,,,,1
,"Advent Review","Auburn, NY",1850,,"B","SDA",,,2
,"Advent Review and Sabbath Herald",,"1850-1901","Vols. 1-71","C","SDA","GCArch",,3
,"Advent Shield and Review, The","Himes, Bliss, Hale, ed.","1844-1845","Vol. I","B","Millerite",,,4
,"Advent Tracts","Boston: J. V. Himes",1850,"2 Vols.","B","WE, AU, LLU, Millerite",,,5
,"American Biographical History of Eminent and Self-Made Men. Michigan Volume - see Anon.",,,,,,,,6
,"American Church History Series, Philip Schaff, H.C. Potter, Samuel M.Jackson, etc., ed.","NY: The Christian Literature Co.","1893-97","13 Vols.","C","AU","Arch,Goo","Vols. 11,12 on inventory",7
,"American Negro Academy (bound pamphlets)",,,,"S",,,"A set of bound pamphlets",8
,"American Phrenological Journal","ed. Fowler and Wells","1856-59","Vols. 23-30","B","WE",,,9
,"Anglo-American Bible Revision","NY: Bible House",1879,"192 pp.","C","WE, AU","Goo",,10
,"Apocryphal New Testament (The)","Phila.: Gebbie and Co.","n.d.","275 pp.","(B)","WE, AU","Goo",,11
,"Apples of Gold Library","Oakland, Cal.: Pacific Press","1890s, etc.","Nos. 1-91","B","SDA, WE",,,12
,"Authors and Publishers - see Putnam, George","G.H.P. and J.B.P.",,,,,,,13
,"Bampton Lectures, 27 vols.",,,"27 vols.","C","AU",,,14
,"Berean Library, 1-4 (pamphlets)",,,,"B","WE",,"(assorted pamphlets)",15
,"Besieged City - see Anon.",,,,,,,,16
,"Bible Footlights: For the Pilgrim's Path - see Anon.",,,,,,,,17
,"Bible Readings for the Home Circle - see Anon.",,,,,,,,18
,"Bible Society Record",,,"Vols. 1-55","C",,,,19
,"Bible Society Record",,"1845-1848",,"C",,,,20
,"Bible Stories for the Young - see Anon.",,,,,,,,21
,"Bible Student's Library, Nos. 1-199",,,,"B","SDA",,,22
,"Bible Tracts, Vol. 2","Rochester, NY: Advent Review office",1855,,"B","WE, SDA",,,23
,"Bibles (many versions)",,,,,"B",,,24
,"Biblia Sacra Polyglotta","Londinis: S. S. Bagster",,"2 vols.","C","WE, AU",,,25
,"Biblia Triglotta = The Triglot Bible","London: R. D. Dickinson",1907,"2 vols.","C","AU",,,26
,"Biblical Atlas and Scripture Gazetteer - see Anon., New Biblical Atlas?",,,,,,,,27
,"Biblical Institute - see White, James S. and Uriah Smith",,1878,,,"SDA",,,28
,"Bildersaal der Christ Lichtenwelt",,,,"B","SDA",,,29
,"Blackboard in the Sunday School - possibly by Beard (1877), Clarke (1884), or Bailey (1899)?",,,,,,,,30
,"British Reformers","Phila.: Presbyterian Board of Publ.","1842-43","12 Vols.","C","AU","Goo",,31
,"California State Library Catalogue",,,,"B",,,,32
,"Catechism of Health - see Henry H. Porter",,,,,,,,33
,"Checks to Antinomianism. The Works of the Rev. John Fletcher - see Fletcher, John",,,,,,,,34
,"Cheering Words for the Master's Workers - see Anon.",,,,,,,,35
,"Christ and the People - see Christ and His People, by Krummacher; or Jesus Christ and the People, by Pearse",,,,,,,,36
,"Church Debts - book either by Ramsey (1851) or by Stall (1881)",,,,,,,,37
,"Church Missionary Work",,,,,,,,38
,"Church Missionary Work and Duties of Church Officers - see Anon.",,,,,,,,39
,"Collection of Interesting Tracts Explaining Several Important Points - see Anon.",,,,"A",,,,40
,"Colorado - many books by that title; see Bayard Taylor, or poss. Farrell (1868), Blackmore (1869),Bowles (1869), Legard (1872)",,,,,,,,41
,"Commentary Wholly Biblical, with Tables, Indexes, etc., The - see Anon.",,,,,,,,42
,"Commentary, Old Testament and New Testament - see The O.T. According to the Authorized Version","Soc. for Promoting of Christian Knowledge",,"3 vols.","C",,,,43
,"Common Prayer; The Book of Common Prayer","(many editions - Episcopalian or Church of England)",,,"C",,,,44
,"Concordance, German [Bible]",,,,"C",,,,45
,"Contemporary Review, Vol. LV","(a periodical)",,,"C",,,,46
,"Controversial Literature, Misc.",,,"6 Vols.","A,B,C",,,"Pamphlets on unknown subjects bound together in 6 vols.",47
,"Coronations; or the Corruptible and Incorruptible Crown - see Anon.",,,,,,,,48
,"Council of Constance - see R. Cattermole",,,,,,,,49
,"Counsels to Converts - see Anon. New Life, Horatius Bonar, or more likely Augustus George",,,,,,,,50
,"Daily Life - by Cumming (likely), or poss. Bowman (1860), Hildreth (1868), or by Dawson (1878)",,,,,,,,51
,"Deitsch Woordenboek","Holland-language dictionary",,,"B",,,,52
,"Dictionary of the Holy Bible, for General Use - see Anon.",,,,"A",,,,53
,"Doctrinal Tracts - see Anon., A Collection of Interesting Tracts . . .",,1861,,,,,,54
,"Duitsch Woordenboek","(Holland language dictionary)",,,"C",,,,55
,"Eagle Hill - see Anon.",,,,,,,,56
,"Earthquakes",,,,"C",,,"Bound pamphlets",57
,"Education of the Negro",,,"2 Vols.","S",,,"Bound pamphlets",58
,"Elijah - many books by that title, see Howat, Krummacher, Meyer, and Pearse",,,"2 copies",,,,,59
,"Elisha - many books by that title, see Blunt, Edersheim, Howat, and Krummacher",,,"2 copies",,,,,60
,"Encyclopedia Britannica, 9th ed.","R.S. Peale reprint",1892,"25 Vols.","B",,,,61
,"Evidences of Christianity: Lectures at the Univ. of Va. - see Ruffner",,"1850-51",,"C",,,,62
,"Expositors Bible--I and II Chronicles (vol. 4 of Expositors Bible)","NY: A.C. Armstrong",1908,"1 vol.","C",,,,63
,"Expositors Bible--The Book of Isaiah (vol. 11 of Expositors Bible)","NY: A.C. Armstrong",1908,"2 vols.","C",,,,64
,"Expositors Bible--The Prophecies of Jeremiah (vol. 12 of Expositors Bible)","NY: A.C. Armstrong",1908,"2 vols.","C",,,,65
,"Ezekiel, and Other Poems, by B.M. - see Barbara Macandrew",,,,"C",,,,66
,"Fireside Teacher",,,,"B",,,"(periodical)",67
,"Forum, Vols. III, V-VII, IX, X [periodical]",,"1886-1930","6 vols.","C",,,,68
,"From Earth to Heaven - see Graves (1877) or Sprague (1877)",,,,,,,,69
,"Gems of Song: a Collection of Familiar Hymns for Religious Meetings","Battle Creek, Mi.: S.D.A. Publ. Assoc.","1870s","95 pp.","B","SDA, WE, AU, LLU",,,70
,"General Conference Bulletins, 1891, 1893, 1895, 1897, 1899, 1901, 1903, 1909, 1913",,,,"C","SDA",,,71
,"Gleanings for the Young - see Anon.",,,,,,,,72
,"Gospel Herald [periodical]",,1902,,"C",,,,73
