ID No,Written By,Written To,Date,Written From,LB Ref No,Info
1,"White, W.C.","Manager, Review & Herald",4/01/1907,"Mountain View, CA",,
2,"White, J. Edson","Landis, H.B",5/01/1907,"Burlington, IA",,
3,"White, J. Edson","White, W.C.",5/01/1907,"Burlington, IA",,
4,"White, J. Edson","White, W.C.",22/01/1907,"Edgefield, TN",,
5,"White, J. Edson","White, W.C.",8/01/1907,"Des Moines, IA",,
6,"White, J. Edson",Dear Mother,14/01/1907,"Battle Creek, MI",,
7,"White, J. Edson","Landis, H.B [copy WCW]",22/01/1907,"Edgefield, TN",,
8,"White, J. Edson","White, W.C. [telegram]",23/01/1907,"Nashville, TN",,
9,"White, J. Edson","White, W.C.",23/01/1907,"Edgefield, TN",,
10,,Sanitarium Ledger statement,24/01/1907,"Battle Creek, MI",,
11,"White, J. Edson","White, Mrs E.G.",25/01/1907,"Edgefield, TN",,
12,"White, J. Edson","White, W.C.",25/01/1907,"Edgefield, TN",,
13,"White, J. Edson","White, W.C.",31/01/1907,"Edgefield, TN",,
14,"White, J. Edson","White, Mrs E.G.",31/01/1907,"Edgefield, TN",,
15,"White, J. Edson","White, Mrs E.G.",7/02/1907,"Edgefield, TN",,
16,"White, J. Edson","White, W.C.",7/02/1907,"Edgefield, TN",,
17,"White, J. Edson","White, W.C.",8/02/1907,"Edgefield, TN",,
18,,Created in His Image [poem],,,,
19,"White, J. Edson","White, W.C.",10/02/1907,"Edgefield, TN",,
20,"White, J. Edson","White, W.C.",10/02/1907,"Edgefield, TN",,
21,"White, J. Edson","White, W.C.",13/02/1907,"Edgefield, TN",,
22,"White, J. Edson","White, Mrs E.G.",13/02/1907,"Edgefield, TN",,
23,"White, J. Edson","White, W.C.",14/02/1907,"Edgefield, TN",,
24,"White, J. Edson","Landis, H.B [copy WCW]",14/02/1907,"Edgefield, TN",,
25,"White, J. Edson","Kellogg, W.K.",14/02/1907,"Edgefield, TN",,
26,"White, J. Edson","Landis, H.B",15/02/1907,"Edgefield, TN",,
27,"White, J. Edson","White, W.C.",20/02/1907,"Edgefield, TN",,
28,"White, J. Edson","White, W.C.",20/02/1907,"Edgefield, TN",,
29,"White, J. Edson","White, W.C.",21/02/1907,"Edgefield, TN",,
30,"White, J. Edson","Landis, H.B",24/02/1907,"Edgefield, TN",,
31,"White, J. Edson","White, W.C.",26/02/1907,"Edgefield, TN",,
32,"White, J. Edson","Landis, H.B",28/02/1907,,,
33,"White, J. Edson","White, W.C.",28/02/1907,"Edgefield, TN",,
34,"White, J. Edson","White, W.C.",1/03/1907,"Edgefield, TN",,
35,"White, J. Edson","White, W.C.",2/03/1907,"Edgefield, TN",,
36,"White, J. Edson","White, W.C.",5/03/1907,"Edgefield, TN",,
37,"White, J. Edson","Landis, H.B",5/03/1907,"Edgefield, TN",,
38,"White, J. Edson","White, W.C.",6/03/1907,"Edgefield, TN",,
39,"White, J. Edson","White, W.C.",13/03/1907,"Edgefield, TN",,
40,"White, J. Edson","White, W.C.",14/03/1907,"Edgefield, TN",,
41,"White, J. Edson","White, W.C.",17/03/1907,"Edgefield, TN",,
42,"White, J. Edson","*White, Mrs E.G.",4/04/1907,"Mountain View, CA",,
43,"White, J. Edson","White, W.C.",5/04/1907,"Mountain View, CA",,
44,"White, J. Edson","Covell, W.H.",12/04/1907,"Portland, OR",,
45,"White, J. Edson","White, Mrs E.G.",23/04/1907,"Edgefield, TN",,
46,"White, J. Edson","White, Mrs E.G.",25/04/1907,"Edgefield, TN",,
